id	ip	hostname	lable password area
10325	172.30.30.245	AMSNGINX-2	AMS
10326	172.30.30.244	AMSNGINX-1	AMS
10327	172.30.30.195	IDC-AMS-03	AMS
10328	172.30.30.194	IDC-AMS-02	AMS
10463	172.30.33.73	I607-PRAMSESB-1	AMS
10462	172.30.33.74	I607-PRAMSESB-2	AMS
10518	172.30.32.145	GIC-REDIS-01	api_addhost
10608	172.29.19.51	quark.node4_jmx	api_addhost
10108	172.28.32.86	172.28.32.86	BGP
10109	172.28.32.80	172.28.32.80	BGP
10110	172.28.32.82	172.28.32.82	BGP
10111	172.28.32.83	172.28.32.83	BGP
10112	172.28.32.84	172.28.32.84	BGP
10113	172.28.32.85	172.28.32.85	BGP
10114	172.28.32.87	172.28.32.87	BGP
10115	172.28.32.88	172.28.32.88	BGP
10117	172.28.32.101	172.28.32.101	BGP
10118	172.28.32.102	172.28.32.102	BGP
10119	172.28.32.103	172.28.32.103	BGP
10120	172.28.32.104	172.28.32.104	BGP
10121	172.28.32.105	172.28.32.105	BGP
10122	172.28.32.106	172.28.32.106	BGP
10123	172.28.32.81	172.28.32.81	BGP
10124	172.28.32.90	172.28.32.90	BGP
10125	172.28.32.91	172.28.32.91	BGP
10126	172.28.32.92	172.28.32.92	BGP
10127	172.28.32.93	172.28.32.93	BGP
10128	172.28.32.94	172.28.32.94	BGP
10129	172.28.32.95	172.28.32.95	BGP
10131	172.28.32.108	172.28.32.108	BGP
10529	172.28.32.89	BGP-NetNginx-04	BGP
10581	172.28.32.117	B701-NETNGINX-6	BGP
10582	172.28.32.116	B701-NETNGINX-5	BGP
10105	172.30.30.62	activity-nginx-62	CaiMi_API Activity M
10107	192.168.251.21	192.168.251.21	CaiMi_API Activity M
10196	172.30.30.252	172.30.30.252	CaiMi_API Activity M
10415	192.168.251.22	192.168.251.22	CaiMi_API Activity M
10394	172.30.32.197	IDC-Control-01	CaiMi_API集群
10466	172.30.32.84	I609-COMSAPIC-2	CaiMi_API集群
10467	172.30.32.212	I609-COMSAPIC-8	CaiMi_API集群
10468	172.30.32.87	I609-COMSAPIC-5	CaiMi_API集群
10469	172.30.32.120	I609-COMSAPIC-7	CaiMi_API集群
10470	172.30.32.86	I609-COMSAPIC-4	CaiMi_API集群
10471	172.30.32.88	I609-COMSAPIC-6	CaiMi_API集群
10472	172.30.32.85	I609-COMSAPIC-3	CaiMi_API集群
10473	172.30.32.82	I609-COMSAPIC-1	CaiMi_API集群
10474	172.30.32.75	I609-COMBKEND-8	CaiMi_APP Service
10475	172.30.32.69	I609-COMBKEND-1	CaiMi_APP Service
10476	172.30.32.76	I609-COMBKEND-4	CaiMi_APP Service
10477	172.30.32.70	I609-COMBKEND-2	CaiMi_APP Service
10478	172.30.32.77	I609-COMBKEND-5	CaiMi_APP Service
10479	172.30.32.71	I609-COMBKEND-3	CaiMi_APP Service
10480	172.30.32.78	I609-COMBKEND-6	CaiMi_APP Service
10481	172.30.32.79	I609-COMBKEND-7	CaiMi_APP Service
10209	172.30.30.74	172.30.30.74	CaiMi_ChinaTele VIP API
10494	172.30.30.75	IDC-ExternalNG-02	CaiMi_ChinaTele VIP API
10175	172.30.30.187	IDC-CONSOLE-05	CaiMi_drtools
10280	172.30.30.185	IDC-CONSOLE-03	CaiMi_drtools
10331	172.30.32.112	IDC-CONSOLE-07	CaiMi_drtools
10332	172.30.32.113	IDC-CONSOLE-08	CaiMi_drtools
10333	172.30.32.114	IDC-CONSOLE-09	CaiMi_drtools
10334	172.30.32.115	IDC-CONSOLE-10	CaiMi_drtools
10396	172.30.30.183	IDC-CONSOLE-01	CaiMi_drtools
10397	172.30.30.184	IDC-CONSOLE-02	CaiMi_drtools
10398	172.30.30.186	IDC-CONSOLE-04	CaiMi_drtools
10399	172.30.30.188	IDC-CONSOLE-06	CaiMi_drtools
10218	172.30.32.107	172.30.32.107	CaiMi_Message
10238	172.30.32.106	172.30.32.106	CaiMi_Message
10248	172.30.30.54	172.30.30.54	CaiMi_Message
10164	172.30.30.147	172.30.30.147	CaiMi_PC
10204	172.30.30.148	172.30.30.148	CaiMi_PC
10205	172.30.30.149	172.30.30.149	CaiMi_PC
10206	172.30.30.150	172.30.30.150	CaiMi_PC
10207	172.30.30.151	172.30.30.151	CaiMi_PC
10208	172.30.30.152	172.30.30.152	CaiMi_PC
10210	172.30.30.154	172.30.30.154	CaiMi_redis
10211	172.30.30.153	172.30.30.153	CaiMi_redis
10212	172.30.30.155	172.30.30.155	CaiMi_redis
10213	172.30.30.237	172.30.30.237	CaiMi_redis
10343	172.30.32.90	172.30.32.90	CaiMi_redis
10526	172.30.32.91	SX-APPservice-02	Caimi_redis_bak
10528	172.30.32.92	SX-APPservice-03	Caimi_redis_bak
10527	172.30.32.93	SX-APPservice-04	Caimi_redis_bak
10436	172.30.33.56	I607-COMSTOMC-1	COMS
10435	172.30.32.250	I607-COMSNGXS-1	COMS
10449	172.30.33.64	I607-COMSDMMQ-1	COMS
10427	172.30.32.230	I606-vipnginx-4	COMS
10426	172.30.32.229	I606-vipnginx-3	COMS
10425	172.30.32.228	I606-vipnginx-2	COMS
10424	172.30.32.227	I606-vipnginx-1	COMS
10439	172.30.32.240	I606-COMSZKSY-3	COMS
10438	172.30.32.239	I606-COMSZKSY-2	COMS
10437	172.30.32.238	I606-COMSZKSY-1	COMS
10448	172.30.33.22	I606-COMSMSQL-2	COMS
10447	172.30.33.21	I606-COMSMSQL-1	COMS
10432	172.30.32.236	I606-COMSMQSY-2	COMS
10431	172.30.32.235	I606-COMSMQSY-1	COMS
10442	172.30.32.245	I606-COMSJOBC-1	COMS
10444	172.30.33.18	I606-COMSHASY-2	COMS
10443	172.30.33.17	I606-COMSHASY-1	COMS
10434	172.30.32.237	I606-COMSDUMN-1	COMS
10433	172.30.32.241	I606-COMSDUBB-1	COMS
10441	172.30.32.244	I606-COMSAPPS-3	COMS
10440	172.30.32.243	I606-COMSAPPS-2	COMS
10423	172.30.32.242	I606-COMSAPPS-1	COMS
10429	172.30.32.232	I606-COMSAPIS-2	COMS
10450	172.30.32.231	I606-COMSAPIS-1	COMS
10430	172.30.32.234	I606-COMBKEND-2	COMS
10428	172.30.32.233	I606-COMBKEND-1	COMS
10282	172.30.33.17	172.30.33.17	COMS
10283	172.30.33.20	172.30.33.20	COMS
10284	172.30.33.18	172.30.33.18	COMS
10285	172.30.33.19	172.30.33.19	COMS
10261	172.30.32.203	172.30.32.203	Contract_Manage
10263	172.30.32.137	172.30.32.137	Contract_Manage
10264	172.30.32.139	172.30.32.139	Contract_Manage
10265	172.30.32.138	172.30.32.138	Contract_Manage
10266	172.30.32.136	172.30.32.136	Contract_Manage
10516	172.30.30.248	IDC-Contractredis-01	Contract_Manage
